"Date","State","Employed_Persons"
"Sep-1980","Tasmania",173.2
"Sep-1980","Northern.Territory",54.8
"Sep-1980","Australian.Capital.Territory",100.6
"Oct-1980","New.South.Wales",2231.3
"Oct-1980","Victoria",1694.3
"Oct-1980","Queensland",953.3
"Oct-1980","South.Australia",552.5
"Oct-1980","Western.Australia",560.8
"Oct-1980","Tasmania",172.5
"Oct-1980","Northern.Territory",55
"Oct-1980","Australian.Capital.Territory",100.6
"Nov-1980","New.South.Wales",2225.4
"Nov-1980","Victoria",1703.4
"Nov-1980","Queensland",961
"Nov-1980","South.Australia",553.6
"Nov-1980","Western.Australia",568.6
"Nov-1980","Tasmania",173.3
"Nov-1980","Northern.Territory",56.2
"Nov-1980","Australian.Capital.Territory",100.4
"Dec-1980","New.South.Wales",2261.4
"Dec-1980","Victoria",1732.1
"Dec-1980","Queensland",955.7
"Dec-1980","South.Australia",564.3
"Dec-1980","Western.Australia",577.8
"Dec-1980","Tasmania",178.2
"Dec-1980","Northern.Territory",55.4
"Dec-1980","Australian.Capital.Territory",101.6
"Jan-1981","New.South.Wales",2200.6
"Jan-1981","Victoria",1680.4
"Jan-1981","Queensland",930.6
"Jan-1981","South.Australia",548.6
"Jan-1981","Western.Australia",566.9
"Jan-1981","Tasmania",173.7
"Jan-1981","Northern.Territory",55.3
"Jan-1981","Australian.Capital.Territory",96.9
"Feb-1981","New.South.Wales",2237.2
"Feb-1981","Victoria",1711.4
"Feb-1981","Queensland",950.4
"Feb-1981","South.Australia",560.1
"Feb-1981","Western.Australia",565.6
"Feb-1981","Tasmania",175.6
"Feb-1981","Northern.Territory",58
"Feb-1981","Australian.Capital.Territory",98.3
"Mar-1981","New.South.Wales",2261.8
"Mar-1981","Victoria",1738.4
"Mar-1981","Queensland",956.5
"Mar-1981","South.Australia",568.7
"Mar-1981","Western.Australia",570.9
"Mar-1981","Tasmania",177
"Mar-1981","Northern.Territory",54.2
"Mar-1981","Australian.Capital.Territory",100.5
"Apr-1981","New.South.Wales",2254.8
"Apr-1981","Victoria",1734.2
"Apr-1981","Queensland",959.4
"Apr-1981","South.Australia",564.4
"Apr-1981","Western.Australia",575.4
"Apr-1981","Tasmania",178.2
"Apr-1981","Northern.Territory",57.2
"Apr-1981","Australian.Capital.Territory",102.8
"May-1981","New.South.Wales",2247.7
"May-1981","Victoria",1727.3
"May-1981","Queensland",967.1
"May-1981","South.Australia",562.3
"May-1981","Western.Australia",572.5
"May-1981","Tasmania",177.8
"May-1981","Northern.Territory",55.7
"May-1981","Australian.Capital.Territory",101.9
"Jun-1981","New.South.Wales",2258.3
"Jun-1981","Victoria",1724.4
"Jun-1981","Queensland",962.4
"Jun-1981","South.Australia",560.9
"Jun-1981","Western.Australia",574.8
"Jun-1981","Tasmania",174.6
"Jun-1981","Northern.Territory",56.7
"Jun-1981","Australian.Capital.Territory",101.9
"Jul-1981","New.South.Wales",2256.6
"Jul-1981","Victoria",1727.2
"Jul-1981","Queensland",978.1
"Jul-1981","South.Australia",559.5
"Jul-1981","Western.Australia",571.3
"Jul-1981","Tasmania",174
"Jul-1981","Northern.Territory",55.8
"Jul-1981","Australian.Capital.Territory",102.9
"Aug-1981","New.South.Wales",2240.1
"Aug-1981","Victoria",1721.1
"Aug-1981","Queensland",978.9
"Aug-1981","South.Australia",557.8
"Aug-1981","Western.Australia",562.6
"Aug-1981","Tasmania",171.6
"Aug-1981","Northern.Territory",59
"Aug-1981","Australian.Capital.Territory",102.6
"Sep-1981","New.South.Wales",2286.3
"Sep-1981","Victoria",1739.8
"Sep-1981","Queensland",995.8
"Sep-1981","South.Australia",568.5
"Sep-1981","Western.Australia",573.8
"Sep-1981","Tasmania",173.8
"Sep-1981","Northern.Territory",61.6
"Sep-1981","Australian.Capital.Territory",103.3
"Oct-1981","New.South.Wales",2259
"Oct-1981","Victoria",1727
"Oct-1981","Queensland",990.8
"Oct-1981","South.Australia",561.3
"Oct-1981","Western.Australia",572
"Oct-1981","Tasmania",173.2
"Oct-1981","Northern.Territory",58.2
"Oct-1981","Australian.Capital.Territory",103.9
"Nov-1981","New.South.Wales",2251.1
"Nov-1981","Victoria",1717.7
"Nov-1981","Queensland",988.6
"Nov-1981","South.Australia",565.7
"Nov-1981","Western.Australia",574.2
"Nov-1981","Tasmania",172.1
"Nov-1981","Northern.Territory",58
"Nov-1981","Australian.Capital.Territory",106
"Dec-1981","New.South.Wales",2278.9
"Dec-1981","Victoria",1737.2
"Dec-1981","Queensland",1001.8
"Dec-1981","South.Australia",571.4
"Dec-1981","Western.Australia",581.9
"Dec-1981","Tasmania",173.2
"Dec-1981","Northern.Territory",57
"Dec-1981","Australian.Capital.Territory",105.3
"Jan-1982","New.South.Wales",2232.1
"Jan-1982","Victoria",1688.4
"Jan-1982","Queensland",971.7
"Jan-1982","South.Australia",560.2
"Jan-1982","Western.Australia",570.6
"Jan-1982","Tasmania",170.9
"Jan-1982","Northern.Territory",59.3
"Jan-1982","Australian.Capital.Territory",102.2
"Feb-1982","New.South.Wales",2253.8
"Feb-1982","Victoria",1712.7
"Feb-1982","Queensland",995.6
"Feb-1982","South.Australia",567.6
"Feb-1982","Western.Australia",573.9
"Feb-1982","Tasmania",168.6
"Feb-1982","Northern.Territory",57.7
"Feb-1982","Australian.Capital.Territory",102.4
"Mar-1982","New.South.Wales",2282.1
"Mar-1982","Victoria",1728.3
"Mar-1982","Queensland",1005
"Mar-1982","South.Australia",573.2
"Mar-1982","Western.Australia",577.7
"Mar-1982","Tasmania",171.9
"Mar-1982","Northern.Territory",57.9
"Mar-1982","Australian.Capital.Territory",101.2
"Apr-1982","New.South.Wales",2251.6
"Apr-1982","Victoria",1718.2
"Apr-1982","Queensland",990
"Apr-1982","South.Australia",565.7
"Apr-1982","Western.Australia",579.3
"Apr-1982","Tasmania",168.9
"Apr-1982","Northern.Territory",57.6
"Apr-1982","Australian.Capital.Territory",100.3
"May-1982","New.South.Wales",2256.8
"May-1982","Victoria",1715
"May-1982","Queensland",997
"May-1982","South.Australia",562.3
"May-1982","Western.Australia",583.1
"May-1982","Tasmania",167.7
"May-1982","Northern.Territory",59.3
"May-1982","Australian.Capital.Territory",99.6
"Jun-1982","New.South.Wales",2246
"Jun-1982","Victoria",1711.3
"Jun-1982","Queensland",991.5
"Jun-1982","South.Australia",557.3
"Jun-1982","Western.Australia",579.4
"Jun-1982","Tasmania",167
"Jun-1982","Northern.Territory",60.7
"Jun-1982","Australian.Capital.Territory",101
