Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2015,   New South Wales,Total employees,"Electricity, gas, water and waste services","1,459.2",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Construction,"1,212.3",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Wholesale trade,"1,150.6",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Retail trade,958.0,,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Accommodation and food services,933.2,,,,,,,,,,,,,,
2015,   New South Wales,Total employees,"Transport, postal and warehousing","1,200.0",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Information Media and telecommunications,"1,403.9",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Financial and insurance services,"1,555.3",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,"Rental, hiring and real estate services","1,151.0",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,"Professional, scientific and technical services","1,498.6",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Administrative and support services,"1,150.0",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Public administration and safety,"1,498.2",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Education and training,"1,535.9",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Health care and social assistance,"1,250.0",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Arts and recreation services,"1,038.7",,,,,,,,,,,,,,
2015,   New South Wales,Total employees,Other services,"1,019.7",,,,,,,,,,,,,,
2015,   Victoria,Total employees,"Agriculture, forestry and fishing",953.9,,,,,,,,,,,,,,
2015,   Victoria,Total employees,Mining,"1,933.8",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Manufacturing,"1,131.4",,,,,,,,,,,,,,
2015,   Victoria,Total employees,"Electricity, gas, water and waste services","1,577.3",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Construction,"1,246.7",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Wholesale trade,"1,099.3",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Retail trade,998.4,,,,,,,,,,,,,,
2015,   Victoria,Total employees,Accommodation and food services,900.0,,,,,,,,,,,,,,
2015,   Victoria,Total employees,"Transport, postal and warehousing","1,152.4",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Information Media and telecommunications,"1,500.0",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Financial and insurance services,"1,496.7",,,,,,,,,,,,,,
2015,   Victoria,Total employees,"Rental, hiring and real estate services","1,231.7",,,,,,,,,,,,,,
2015,   Victoria,Total employees,"Professional, scientific and technical services","1,287.8",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Administrative and support services,942.7,,,,,,,,,,,,,,
2015,   Victoria,Total employees,Public administration and safety,"1,500.0",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Education and training,"1,342.1",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Health care and social assistance,"1,100.0",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Arts and recreation services,"1,124.9",,,,,,,,,,,,,,
2015,   Victoria,Total employees,Other services,970.4,,,,,,,,,,,,,,
2015,   Queensland,Total employees,"Agriculture, forestry and fishing","1,079.9",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Mining,"2,132.3",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Manufacturing,"1,129.0",,,,,,,,,,,,,,
2015,   Queensland,Total employees,"Electricity, gas, water and waste services","1,534.0",,,,,,,,,,,,,,
2015,   Queensland,Total employees,Construction,"1,248.0",,,,,,,,,,,,,,
