Date,Industry,Average_Employed
2019,Administrative and Support Services,452.225
2019,Arts and Recreation Services,248.25
2019,Construction,1168.8
2019,Education and Training,1068.125
2019,"Electricity, Gas, Water and Waste Services",158.175
2019,Financial and Insurance Services,443.05
2019,Health Care and Social Assistance,1717.175
2019,Information Media and Telecommunications,206.45
2019,Manufacturing,881.8
2019,Mining,262.025
2019,Other Services,512.6
2019,"Professional, Scientific and Technical Services ",1135.125
2019,Public Administration and Safety,840.6
2019,Retail Trade,1263.475
2019,"Transport, Postal and Warehousing",660.05
2019,Wholesale Trade,393.075
2019," Agriculture, Forestry and Fishing ",327.775
2019," Rental, Hiring and Real Estate Services",209.875
2020,Accommodation and Food Services,790.325
2020,Administrative and Support Services,420.875
2020,Arts and Recreation Services,209.075
2020,Construction,1167.1
2020,Education and Training,1083.85
2020,"Electricity, Gas, Water and Waste Services",153.275
2020,Financial and Insurance Services,473.6
2020,Health Care and Social Assistance,1757.1
2020,Information Media and Telecommunications,193.4
2020,Manufacturing,862.65
2020,Mining,263.35
2020,Other Services,456.75
2020,"Professional, Scientific and Technical Services ",1123.625
2020,Public Administration and Safety,857.175
2020,Retail Trade,1223.025
2020,"Transport, Postal and Warehousing",625.1
2020,Wholesale Trade,385.475
2020," Agriculture, Forestry and Fishing ",346.375
2020," Rental, Hiring and Real Estate Services",210.725
2021,Accommodation and Food Services,843.625
2021,Administrative and Support Services,415.025
2021,Arts and Recreation Services,229.7
2021,Construction,1142.2
2021,Education and Training,1115.05
2021,"Electricity, Gas, Water and Waste Services",146.3
2021,Financial and Insurance Services,492.3
2021,Health Care and Social Assistance,1844.725
2021,Information Media and Telecommunications,185.075
2021,Manufacturing,899.35
2021,Mining,284.1
2021,Other Services,526.875
2021,"Professional, Scientific and Technical Services ",1192.1
2021,Public Administration and Safety,888.875
2021,Retail Trade,1273.65
2021,"Transport, Postal and Warehousing",654.15
2021,Wholesale Trade,365.45
2021," Agriculture, Forestry and Fishing ",328.225
2021," Rental, Hiring and Real Estate Services",216.375
2022,Accommodation and Food Services,917.25
2022,Administrative and Support Services,439.025
2022,Arts and Recreation Services,233.4
2022,Construction,1222.475
2022,Education and Training,1143.55
2022,"Electricity, Gas, Water and Waste Services",166.7
2022,Financial and Insurance Services,549.525
2022,Health Care and Social Assistance,2042.425
2022,Information Media and Telecommunications,197.375
2022,Manufacturing,847.525
2022,Mining,301
2022,Other Services,519.5
2022,"Professional, Scientific and Technical Services ",1262.7
2022,Public Administration and Safety,877.75
2022,Retail Trade,1312.025
2022,"Transport, Postal and Warehousing",698.175
2022,Wholesale Trade,353.975
2022," Agriculture, Forestry and Fishing ",300.55
2022," Rental, Hiring and Real Estate Services",225.2
2023,Accommodation and Food Services,923.325
2023,Administrative and Support Services,419.125
2023,Arts and Recreation Services,258.525
2023,Construction,1313.8
2023,Education and Training,1178.9
2023,"Electricity, Gas, Water and Waste Services",162.35
2023,Financial and Insurance Services,552.2
2023,Health Care and Social Assistance,2165.2
2023,Information Media and Telecommunications,192.525
2023,Manufacturing,900.75
2023,Mining,311.55
2023,Other Services,520.975
2023,"Professional, Scientific and Technical Services ",1315.925
2023,Public Administration and Safety,919.275
2023,Retail Trade,1330.85
2023,"Transport, Postal and Warehousing",721
2023,Wholesale Trade,376.7
2023," Agriculture, Forestry and Fishing ",302.475
2023," Rental, Hiring and Real Estate Services",210.4
2024,Accommodation and Food Services,940.9
2024,Administrative and Support Services,441.7666667
2024,Arts and Recreation Services,275.4666667
2024,Construction,1323.9
2024,Education and Training,1231.633333
2024,"Electricity, Gas, Water and Waste Services",198.3666667
2024,Financial and Insurance Services,529.0333333
2024,Health Care and Social Assistance,2252.9
2024,Information Media and Telecommunications,193.2333333
2024,Manufacturing,895.0666667
2024,Mining,292.7666667
2024,Other Services,521.9
2024,"Professional, Scientific and Technical Services ",1322.5
2024,Public Administration and Safety,949.0666667
2024,Retail Trade,1330.733333
2024,"Transport, Postal and Warehousing",726.1
2024,Wholesale Trade,390.0666667
2024," Agriculture, Forestry and Fishing ",328.6
2024," Rental, Hiring and Real Estate Services",239.3333333
